,word,frequency
0,de,38928.92
2,et,20879.73
3,à,19209.05
4,le,18310.95
5,il,15832.09
6,être,15085.47
7,les,14662.3
8,ne,13841.89
9,un,13550.68
10,avoir,12800.81
13,je,10862.77
15,une,9587.97
16,pas,8795.14
17,en,8732.57
18,dans,8296.08
19,qui,7923.24
20,elle,6991.49
22,se,6587.77
23,pour,6198.24
25,faire,5328.99
26,au,5322.5
27,sur,5320.47
28,plus,5014.53
29,on,4838.38
30,dire,4832.5
31,son,4696.15
32,mais,4463.72
33,me,4264.32
34,lui,4225.14
35,avec,4000.41
36,nous,3867.84
38,par,3727.09
39,vous,3507.16
40,comme,3429.32
41,que,3315.95
42,tout,3171.35
44,y,3086.76
45,ce,2958.58
46,aller,2854.93
48,pouvoir,2659.8
49,tu,2537.03
50,bien,2535.14
51,ça,2477.64
52,ou,2429.86
53,voir,2401.76
55,mon,2307.97
56,sans,2224.12
57,où,2068.11
58,savoir,2003.58
59,aux,1907.57
60,moi,1877.57
62,vouloir,1640.14
63,encore,1579.05
64,deux,1557.91
66,petit,1541.96
67,rien,1522.91
68,venir,1514.53
69,quand,1480.07
70,prendre,1466.42
71,homme,1398.85
72,aussi,1359.86
73,même,1358.65
74,jour,1341.76
75,devoir,1318.18
76,temps,1289.39
77,falloir,1250.41
78,grand,1244.66
79,oeil,1234.59
80,main,1229.39
81,passer,1165.27
82,fois,1140.0
83,non,1135.81
84,jamais,1122.97
85,très,1120.81
86,toujours,1093.78
87,là,1089.66
88,parler,1086.01
89,mettre,1083.72
90,chose,1057.64
91,alors,1033.78
92,sous,1032.7
93,peu,1023.38
95,regarder,997.91
96,femme,995.74
97,demander,984.46
98,trouver,972.5
99,dont,960.34
100,vers,956.15
101,suivre,949.12
102,croire,947.23
103,si,933.99
104,heure,924.05
105,tête,923.45
106,seul,915.27
107,donner,896.01
109,autre,870.14
110,penser,869.8
111,vie,853.31
112,laisser,851.55
113,coup,837.7
114,puis,836.42
115,entre,833.99
116,après,821.55
117,aimer,795.61
118,rester,793.78
119,trop,790.0
120,bon,789.66
122,te,774.32
123,mère,761.28
124,cela,741.82
125,monde,741.35
126,tenir,741.22
127,nuit,738.24
129,enfant,725.68
130,père,723.51
131,arriver,723.04
132,entendre,719.12
133,sentir,718.78
134,moins,718.18
135,attendre,706.69
136,déjà,702.23
137,peut-être,697.97
138,air,690.81
139,devant,690.34
140,moment,688.24
141,an,685.81
142,notre,680.68
143,chez,680.54
144,premier,672.57
145,ni,662.36
146,trois,660.34
147,oui,637.57
148,connaître,629.26
149,sortir,627.57
150,beau,620.07
151,porte,617.43
152,comprendre,614.8
153,voix,612.7
155,fille,592.23
156,contre,591.15
158,maison,575.34
159,avant,574.32
160,sembler,572.84
161,jeune,569.19
162,côté,566.49
163,visage,565.0
164,rue,562.97
165,soir,562.64
166,quelque,557.77
167,mot,553.78
168,depuis,542.64
169,devenir,533.51
170,vieux,512.91
171,eux,504.26
172,cet,497.5
173,maintenant,496.76
174,ouvrir,492.5
175,revenir,490.54
176,bras,487.97
177,pied,486.42
178,chaque,486.35
179,partir,485.68
180,ici,483.58
181,noir,482.23
182,corps,480.34
183,porter,474.93
184,ainsi,469.46
185,car,469.32
186,place,468.58
187,rendre,468.11
188,répondre,466.76
189,presque,465.54
190,appeler,465.34
191,arrêter,462.5
192,beaucoup,461.42
193,vivre,460.34
194,eau,459.86
195,terre,452.91
196,mort,452.7
197,loin,452.36
198,toi,450.34
199,pendant,450.14
200,chercher,448.99
201,paraître,448.11
202,donc,445.88
203,long,444.86
204,tomber,441.42
205,lever,440.74
206,enfin,440.27
207,tant,436.42
208,blanc,430.54
209,vrai,430.07
210,votre,427.91
211,leur,427.5
212,regard,423.18
213,commencer,421.89
214,assez,420.14
215,finir,417.97
216,retrouver,416.22
217,chambre,413.31
218,sûr,412.97
219,gens,409.39
220,poser,409.05
221,monter,404.59
222,amour,403.92
223,dernier,403.11
225,peine,399.53
226,entrer,398.38
227,mieux,398.38
228,bout,398.11
229,seulement,397.97
230,matin,396.76
231,dieu,396.49
232,asseoir,395.27
233,nom,395.0
234,mourir,391.08
235,tirer,383.24
236,quoi,380.07
237,table,379.8
238,perdre,377.36
239,tourner,377.09
240,fond,376.15
241,pourtant,375.68
242,année,375.54
244,plein,370.41
245,autour,361.55
246,histoire,359.53
247,fait,355.54
248,guerre,354.59
249,ami,354.12
250,gros,353.45
251,ville,352.97
252,vite,351.89
253,doute,350.07
254,mal,349.46
255,derrière,349.39
256,ailleurs,346.35
257,force,344.73
258,tard,344.26
259,écrire,341.82
260,instant,340.2
261,reprendre,340.14
262,lit,338.18
263,jouer,337.23
264,jeter,336.82
265,longtemps,335.54
266,soleil,334.39
267,voilà,329.12
268,question,328.45
269,idée,328.45
271,marcher,325.61
272,silence,325.54
273,monsieur,324.86
274,lire,324.8
275,point,323.58
277,rire,320.54
278,part,320.41
279,celui,319.19
280,quitter,318.72
281,mur,317.77
282,fin,314.53
283,écouter,314.05
284,personne,312.16
285,peur,311.69
286,ton,310.47
288,raison,308.78
289,tour,308.72
290,sorte,307.16
291,ciel,305.2
292,mois,304.86
293,descendre,301.62
294,celle,299.46
295,bois,299.46
296,français,298.85
297,pourquoi,297.64
298,ah,297.16
299,essayer,296.69
300,nouveau,292.43
301,surtout,291.49
302,retourner,290.88
303,pousser,288.92
304,épaule,288.72
305,train,288.65
306,route,288.04
307,parfois,287.36
308,oublier,286.96
309,souvent,286.96
310,apprendre,286.69
311,livre,286.49
312,servir,286.22
313,près,285.41
314,bouche,283.45
315,voiture,283.11
316,continuer,282.77
317,quatre,282.64
318,bruit,281.49
319,plutôt,280.74
320,manger,280.61
321,fenêtre,280.2
322,rentrer,279.93
323,façon,277.3
324,montrer,276.55
325,pièce,276.35
326,suite,275.81
327,dès,275.07
328,famille,274.39
329,boire,274.32
330,vraiment,274.32
331,lumière,274.26
332,rouge,273.24
333,geste,271.08
334,face,270.88
335,cheveu,270.68
336,lieu,267.57
337,besoin,266.62
338,quel,265.34
339,travail,263.45
340,courir,263.38
341,sourire,262.91
342,garçon,262.5
343,raconter,261.89
344,dormir,259.05
345,envie,258.11
346,mer,257.57
